Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_N2_d1;log2FC;Student's T-test Test statistic daf2_d1_N2_d1;Sign p-val: 0.05 
CELE_Y50D4B,1;"A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286";Uncharacterized protein;13,1414;13,1551;12,9483;13,5493;13,6227;12,8805;13,0266;15,548;0,400544;0,312801;-0,570959;-0,910607;
CELE_Y39A1A,21;"A0A0K3ARX5;Q9XX11";Uncharacterized protein;10,8572;9,59846;10,5046;10,6183;11,3098;11,7244;11,9371;12,1402;2,25539;0,00439755;-1,38323;-4,22118;+
dre-1;"A0A0K3AS68;Q94251";"Daf-12, REdundant with;F-box protein dre-1";17,5411;16,747;16,9177;17,0942;16,8521;17,5528;17,5296;17,0168;0,272278;0,444203;-0,162805;-0,65922;
gck-1;"A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099";"Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1";14,3503;14,2965;14,0295;14,1474;15,126;15,0707;14,7736;14,886;3,34998;0,000919094;-0,758175;-6,9314;+
gly-7;"A0A0K3ASG4;O61397";"Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7";15,2911;13,9644;14,1441;13,7363;14,4632;13,9384;14,0462;14,235;0,115462;0,695444;0,113275;0,310691;
"CELE_F40A3,3;F40A3,3";"A0A0K3ASH2;O16264";"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3";18,5411;18,4763;18,5505;18,2987;17,6745;18,587;18,0588;17,8006;1,07904;0,0563722;0,436388;2,07456;
CELE_Y50D4B,4;A0A0K3ASH9;Uncharacterized protein;14,9002;14,9816;14,9892;14,9089;14,7622;15,344;15,3902;15,3831;0,900143;0,087603;-0,274892;-1,77727;
cdf-1;"A0A0K3ASM2;Q95QW4";"Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1";10,9376;10,6472;10,7921;10,746;13,5598;12,8471;12,2454;12,3073;3,12877;0,00112653;-1,95917;-6,30342;+
unc-34;"A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34";16,7764;16,3451;13,3088;15,1487;16,1005;16,2428;15,4881;15,338;0,193914;0,550292;-0,397607;-0,492509;
tbh-1;"A0A0K3ATC0;Q9XTQ6";"Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase";15,3663;15,3492;15,5883;15,0892;14,8463;13,869;14,1361;14,6965;2,05335;0,00689305;0,961282;3,8119;+
lev-11;A0A0K3ATS1;Uncharacterized protein;21,7474;22,1143;22,0065;21,4276;21,6604;21,8609;21,7249;21,1096;0,472816;0,259986;0,234988;1,04413;
imp-3;"A0A0K3AUD2;Q18408";IntraMembrane Protease (IMPAS) family;13,3818;13,1706;12,9138;13,224;11,6595;11,537;11,9189;12,0689;3,94339;0,000397906;1,37646;8,8747;+
prdx-2;"A0A0K3AUJ9;H2KZL7;Q8IG31";PeRoxireDoXin;21,9418;21,7497;21,7763;21,7001;20,93;21,236;21,3004;21,2097;3,16645;0,00107649;0,622953;6,40708;+
jhdm-1;"A0A0K3AUW2;Q95Q98";"JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1";14,5113;14,5323;14,7196;14,1443;14,3853;14,2042;13,9326;13,8015;1,16637;0,0471651;0,395998;2,22024;+
mrck-1;"A0A0K3AUZ7;O01583";"Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1";13,0162;11,8051;12,8231;12,0398;13,3518;13,2695;13,1939;13,5251;1,62927;0,0169537;-0,914015;-3,0172;+
nhr-86;"A0A0K3AVA9;Q965W2";"Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86";11,6752;10,9989;11,4704;11,1694;12,3253;12,373;12,634;12,7489;3,21213;0,0010366;-1,19185;-6,53456;+
aat-3;"A0A0K3AVL7;O17395";Amino Acid Transporter;13,6455;13,2998;12,6054;12,8474;12,1389;13,0892;12,9022;12,4945;0,681007;0,152457;0,443309;1,40917;
CELE_M02H5,8;A0A0K3AVS5;Uncharacterized protein;18,0799;17,9544;17,8609;17,9541;18,7358;18,3593;18,3323;18,1816;1,88536;0,00975464;-0,43995;-3,48762;+
CELE_T08B1,1;A0A0K3AVV4;Uncharacterized protein;14,2979;14,5233;14,602;14,4496;15,4472;15,5818;15,5373;15,2916;4,4603;0;-0,99628;-10,9387;+
lipl-5;"A0A0K3AW68;A0A0K3AYF1;O61866";"Lipase;LIPase Like;Lipase";13,2047;13,1923;13,5453;12,7198;14,6172;14,4394;14,1656;14,5566;3,19812;0,00110787;-1,27915;-6,49526;+
fln-2;"A0A0K3AW96;D0VWL6";FiLamiN (Actin binding protein) homolog;16,3382;16,225;16,1405;15,8562;15,8547;15,4755;15,7544;15,8749;1,56277;0,0198022;0,4001;2,89908;+
C14C6,5;"A0A0K3AXM4;O44667";Uncharacterized protein;14,6652;14,5774;14,5304;14,5023;13,4761;13,7285;14,4;13,8321;1,93245;0,00891605;0,709682;3,57717;+
CELE_T08B1,1;A0A0K3AY44;Uncharacterized protein;10,9633;10,7178;10,801;10,7331;9,92087;9,83609;9,95917;9,86356;5,17283;0;0,908853;14,5105;+
zig-11;A0A0K3AY85;2 (Zwei) IG domain protein;13,1376;12,9935;13,2651;12,7266;12,6669;12,4196;12,6057;13,0438;1,02528;0,0642957;0,346698;1,98518;
ilys-5;"A0A0K3AYJ1;Q19698";Invertebrate LYSozyme;14,6293;13,7522;14,0625;13,9497;17,7451;17,5708;17,6705;17,9189;5,717;0;-3,6279;-17,9562;+
irg-3;"A0A0M7REP5;A0A0M7RF66;P91316";Infection Response protein;12,9895;13,6276;13,4423;13,8067;14,5273;14,1672;14,347;14,7562;2,40979;0,00319385;-0,982913;-4,54989;+
tns-1;"A0A0S4XR31;H2L045;H2L046";TeNSin homolog;15,3917;15,3103;15,3597;15,1448;14,9621;15,0611;14,9681;14,9841;2,68548;0,00218737;0,307773;5,17562;+
ubr-4;"A0A0S4XR36;O01808";UBR E3 ubiquitin ligase homolog;12,9748;12,0796;11,9757;12,4436;12,4933;13,1581;12,2734;13,0165;0,554473;0,209305;-0,366931;-1,19012;
ccar-1;A0A0S4XR43;CCAR1 homolog;15,1967;14,7468;14,4661;15,0081;14,9522;15,1393;15,5796;15,0925;0,800536;0,113036;-0,336493;-1,61105;
ulp-2;"A0A0S4XR45;Q23238";"Ubiquitin-Like Protease;Ubiquitin-like protease 2";13,0999;13,0408;13,1241;12,4987;12,7519;13,8253;12,2326;13,9428;0,224728;0,50609;-0,247258;-0,559558;
CELE_T23F4,2;"A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261";Uncharacterized protein;14,0388;12,8363;13,8535;13,3663;14,0498;13,1419;13,5994;13,9626;0,190479;0,555488;-0,164665;-0,4849;
sago-1;A0A0T7CIX3;Piwi-like protein;13,6706;13,845;13,8241;15,3813;13,4302;13,4341;13,3097;13,2551;1,05437;0,0597661;0,82296;2,03352;
sago-2;"A0A0U1RML5;A0A0U1RML6";Piwi-like protein;12,7837;12,9861;13,3497;13,2385;11,8545;11,9899;12,216;13,436;0,95344;0,0764614;0,715439;1,86586;
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3";"A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3";13,075;11,9628;11,6702;11,7729;13,6684;13,1754;13,0629;13,1592;1,76395;0,0119645;-1,14627;-3,26131;+
daf-4;"A0A131MB12;G8JY02;P50488";"Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4";14,1946;13,8292;14,0122;13,5697;13,7149;13,1534;13,8904;13,247;0,910678;0,0855987;0,400052;1,79479;
hpo-3;"A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60";Uncharacterized protein;10,9269;10,6138;10,7563;10,5418;10,424;11,9341;11,8484;10,5638;0,541638;0,215677;-0,482859;-1,16746;
acs-22;"A0A131MBB2;Q18916";Fatty Acid CoA Synthetase family;14,9708;15,4404;14,7526;14,8316;14,6643;14,6948;14,526;14,4845;1,3349;0,0316628;0,406452;2,50446;+
tag-10;"A0A131MBC3;A0A131MCY4;G5EER7;G5EG67";Uncharacterized protein;15,7694;15,8648;15,5982;15,5687;14,8529;15,4464;15,6012;15,3167;1,18399;0,0455391;0,395977;2,24974;+
imb-2;"A0A131MBF9;O62332";IMportin Beta family;13,2929;13,1286;13,3316;13,5981;14,2464;13,7576;13,8201;13,4258;1,29654;0,0345556;-0,47465;-2,43931;+
brf-1;"A0A131MBG0;A0A131MCT5";BRF (Transcription factor) homolog;12,7211;11,6758;12,478;12,8654;12,2107;11,89;11,9915;12,3855;0,502133;0,239315;0,315654;1,09707;
CELE_W09B6,4;"A0A131MBG4;H2L0M1";Uncharacterized protein;13,5935;13,3194;13,3481;12,9404;12,7863;13,1092;13,2238;13,7984;0,104231;0,720555;0,0709026;0,283082;
irg-7;A0A131MBU3;Protein irg-7;18,0058;17,6724;17,7368;17,5448;18,4433;18,1981;17,9343;17,8635;1,18504;0,0454318;-0,369828;-2,2515;+
CELE_F27B10,1;A0A131MCJ0;Uncharacterized protein;12,2768;12,5617;12,0353;11,7352;12,9254;14,2495;14,251;12,7808;1,71605;0,0137081;-1,39942;-3,17369;+
CELE_T22F3,3;A0A131MCL1;Alpha-1,4 glucan phosphorylase;13,3505;12,5887;12,4551;11,8211;9,88843;9,835;9,84919;9,97705;3,82393;0,000481132;2,66644;8,45004;+
die-1;"A0A131MCL4;A0A131MCR4";Dorsal Intercalation and Elongation defect;14,5519;14,54;14,5911;15,048;12,188;12,711;12,9452;12,8769;4,11447;0,000289157;2,00244;9,51541;+
dhs-11;A0A163UT65;DeHydrogenases, Short chain;15,8107;15,5416;15,5062;15,8157;15,0334;15,1715;15,2211;14,8428;2,63062;0,00219922;0,60137;5,04686;+
tbc-14;"A0A164D380;A0A168H1X0";TBC (Tre-2/Bub2/Cdc16) domain family;14,7813;14,4442;14,3378;13,9264;14,4735;14,6009;14,4625;14,6856;0,445929;0,278887;-0,1832;-0,994999;
cyp-34a6;"A0A164D3C9;O44656";CYtochrome P450 family;15,1085;14,0355;14,4946;14,391;13,1808;13,1618;12,5421;13,1831;2,79788;0,00192593;1,49043;5,44646;+
fipp-1;"A0A164D3G3;O16293";Factor Interacting with Poly(A) Polymerase;14,3778;14,7669;14,1293;14,376;14,3137;13,6219;13,703;14,5507;0,667858;0,156945;0,365175;1,38672;
unc-132;"A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4";Uncharacterized protein;13,7506;13,6741;13,4341;13,9941;14,8457;14,5438;14,8722;15,1207;3,32478;0,000904459;-1,13236;-6,85744;+
cdh-4;"A0A1C3NSI5;Q19319";Cadherin-4;14,9862;13,8023;14,4912;14,11;14,6285;10,7644;12,3328;12,1037;1,18138;0,045583;1,89007;2,24536;+
ajm-1;A0A1C3NSL1;Apical Junction Molecule;10,969;11,3314;10,6331;10,8396;11,6345;9,20727;9,73068;9,71515;0,776729;0,119648;0,87138;1,57111;
CELE_ZC412,3;A0A1C3NSL5;Uncharacterized protein;17,4613;17,1581;17,2477;17,3517;16,3825;16,3468;16,0183;16,3954;4,02383;0,000268908;1,01896;9,17102;+
farl-11;"A0A1D3PCL0;Q19300";FAR (Factor ARrest) Like;11,582;10,7392;10,7965;10,1852;12,5623;12,2601;12,5787;11,0992;1,54676;0,0204599;-1,29934;-2,87088;+
let-711;"A0A1D3PCL8;A0A1D3PCM5;Q20937";"Uncharacterized protein;Uncharacterized protein;NTL-1a";13,8113;13,8712;13,8529;14,8605;14,9091;14,9139;14,7055;14,8083;1,52923;0,0212366;-0,735238;-2,84007;+
C40H1,7;A0A1I6CM73;Uncharacterized protein;14,1071;14,3282;14,2221;14,2521;14,2645;13,5869;14,2285;15,5304;0,165145;0,598524;-0,175195;-0,427862;
spat-2;"A0A1I6CM84;F3Y5Q7";Suppressor of PAr-Two defect;14,9535;14,736;14,9911;15,1045;14,5842;14,6005;15,0498;14,4684;0,919317;0,0837364;0,270523;1,80916;
aakg-1;"A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6";AMP-Activated protein Kinase Gamma subunit;14,6878;13,5791;13,241;13,2334;12,5361;12,4798;12,5641;13,2818;1,31499;0,0331912;0,96987;2,4706;+
grl-23;"A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424";GRound-Like (Grd related);14,9117;15,0563;15,2123;14,7075;12,3924;7,84233;13,0013;9,08838;1,88608;0,00976633;4,39087;3,489;+
spat-2;A0A1I6CM95;Suppressor of PAr-Two defect;13,7267;13,3403;13,5444;13,8469;13,255;13,2865;13,1384;13,2323;1,81671;0,011008;0,386505;3,35888;+
CELE_Y55F3BR,6;A0A1I6CMC9;Uncharacterized protein;13,717;12,9555;13,6063;13,3982;13,4095;12,62;12,8433;13,1659;0,849122;0,10034;0,409567;1,69228;
vab-10;A0A1N7SYP3;Uncharacterized protein;18,3724;17,8631;17,8451;17,2892;17,4039;16,9936;17,0356;17,4125;1,35309;0,0304477;0,63102;2,53545;+
"eif-3,l;eif-3,L";"A0A1N7SYP6;Q95QW0";Eukaryotic translation initiation factor 3 subunit L;16,4586;16,0264;15,6961;15,7429;17,153;16,7416;16,7568;17,3188;2,36571;0,00356069;-1,01153;-4,45454;+
"npp-25;npp-25;npp-25;Y37D8A,17";"A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0";"Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog";16,394;15,6656;15,679;16,0636;16,1433;16,2131;16,1249;15,949;0,372742;0,336569;-0,15706;-0,857884;
cnt-1;"A0A1N7SYT2;Q9XXH8";"CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1";11,0077;9,82459;10,7234;10,8321;11,1371;12,6871;12,2839;12,3774;1,91627;0,00925107;-1,52443;-3,54629;+
C26G2,2;A0A1N7SYU2;Uncharacterized protein;11,0941;10,412;10,7817;10,0716;12,1694;12,535;12,8624;11,5929;2,54143;0,00273234;-1,70008;-4,84213;+
CELE_F43B10,1;A0A1N7SYW5;Uncharacterized protein;12,6899;12,8133;13,1171;12,7559;13,0402;13,4013;13,6621;13,8394;1,75597;0,0121607;-0,641721;-3,24664;+
ubc-15;"A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7";UBiquitin Conjugating enzyme;14,2381;13,6658;13,5398;13,3294;13,8559;14,9652;15,4026;14,352;1,29025;0,0350896;-0,95065;-2,42865;+
CELE_Y55F3BR,10;A0A9S0;Uncharacterized protein;13,0579;14,0221;14,0326;13,3238;14,4562;14,2971;14,4081;14,3763;1,67783;0,015035;-0,775325;-3,10443;+
CELE_Y38F2AR,12;A0A9S2;Uncharacterized protein;13,9064;13,565;14,0213;13,8973;13,6756;13,3228;13,189;13,3403;1,7637;0,0119579;0,46555;3,26084;+
ttr-42;A2V8C3;TransThyretin-Related family domain;16,8632;16,7681;16,7713;17,2911;15,3834;16,6743;16,1653;15,7346;1,65302;0,0162192;0,934069;3,05975;+
CELE_H29C22,1;A2V8C8;Uncharacterized protein;16,3388;15,9727;16,5541;16,7209;16,0658;16,055;16,1323;15,6438;1,12575;0,0510408;0,422345;2,15238;
CELE_F07G6,10;A3FPJ3;Uncharacterized protein;15,3754;17,584;13,229;15,8757;12,2307;15,4786;14,18;12,9487;0,779474;0,11875;1,80652;1,57572;
ttr-34;A3FPK9;TransThyretin-Related family domain;14,9816;14,0183;15,2852;14,3963;15,2377;15,9983;15,8902;15,3033;1,4533;0,0249867;-0,93702;-2,70773;+
CELE_Y49E10,29;A3FPL3;Uncharacterized protein;11,0338;10,7375;10,656;10,8375;9,88784;9,90324;9,96685;9,98732;4,32359;0;0,879885;10,3545;+
cnnm-1;A3QM97;Metal transporter cnnm-1;12,9483;12,6948;12,6783;12,9225;13,485;12,7277;13,3425;13,2982;1,16347;0,0475241;-0,402395;-2,21539;+
col-138;A3QM98;COLlagen;15,7824;15,0739;14,6229;14,6624;14,9514;14,7604;13,5275;13,502;0,911868;0,0854218;0,850081;1,79677;
oac-59;A3QMB6;O-ACyltransferase homolog;11,0661;10,8012;10,3498;10,7525;13,155;13,3144;12,8476;11,921;3,01299;0,00170063;-2,06709;-5,99292;+
C42C1,8;A3QMB7;Uncharacterized protein;12,6456;12,9428;12,7097;12,9055;13,0762;12,5553;12,5452;12,9929;0,0182607;0,941828;0,00853252;0,0538213;
"C42C1,11;AP-1";"A3QMC2;G5EFT4";"Uncharacterized protein;Aminopeptidase-1";14,6765;14,3188;14,3926;14,3582;14,507;14,5696;14,5518;14,5812;0,673285;0,155087;-0,11587;-1,39599;
rpl-34;A3QMC5;Ribosomal Protein, Large subunit;19,5652;19,4955;19,399;19,6166;19,574;20,0236;19,6242;19,5446;0,687905;0,149965;-0,172482;-1,42093;
erl-1;A3QMC6;ERLin (ER lipid raft associated protein) homolog;14,4387;14,419;14,2626;14,5015;14,3086;13,6026;13,9195;14,2569;1,17301;0,0464748;0,383575;2,23135;+
tag-335;A3QMC8;Mannose-1-phosphate guanyltransferase beta;13,9153;13,5012;13,6391;13,7501;13,6554;13,9881;13,9747;13,9607;0,811652;0,109898;-0,193295;-1,62967;
fbxa-6;A4F303;F-box A protein;14,1002;13,482;14,2028;14,0387;13,1911;13,0923;12,6557;12,2958;2,327;0,0038747;1,14721;4,37181;+
CELE_cTel55X,1;"A4F305;H2KY55";Uncharacterized protein;14,2225;14,3629;14,544;14,6483;14,5398;15,1367;15,2355;14,745;1,32341;0,0325246;-0,46978;-2,48491;+
