Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_eat2_d1;log2FC;Student's T-test Test statistic daf2_d1_eat2_d1;Sign p-val: 0.05 
pgp-2;"A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9";"P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2";15,0493;14,8721;14,8834;14,7244;14,603;14,3793;14,4219;14,4792;2,61055;0,00282703;0,41145;5,00031;+
lpd-3;"A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8";LiPid Depleted;16,2304;16,0431;14,4429;15,1278;14,1782;16,6237;15,4979;16,5383;0,132471;0,684908;-0,24848;-0,351673;
tln-1;A0A0K3AQU9;TaLiN;16,0092;13,4848;14,7696;13,4221;14,3502;13,2031;13,3245;14,2834;0,406009;0,332219;0,631133;0,920873;
max-2;"A0A0K3AQV8;A0A0K3AUE7;G5EGQ3";"Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2";13,5153;12,2491;13,2763;13,8107;14,1707;13,7061;14,0444;13,8003;1,04404;0,0703585;-0,717542;-2,01635;
egl-27;"A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27";13,3076;13,3039;13,5169;13,701;16,3502;17,2088;15,8581;16,6099;4,30348;0;-3,04938;-10,271;+
cdc-14;"A0A0K3AQY3;A0A0K3ATW0;P81299";"Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14";11,0256;10,6159;10,6167;10,841;10,6858;10,2011;10,4073;10,5605;1,13179;0,0579347;0,311098;2,16246;
daf-16;"A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O";14,0404;13,7714;13,8167;13,92;14,1166;13,8847;13,1839;14,1824;0,0683112;0,823893;0,0452199;0,191494;
"CELE_T16H12,3;T16H12,3";"A0A0K3ARA8;P34566";"Uncharacterized protein;Uncharacterized protein T16H12,3";12,8504;12,4177;13,3509;11,8584;14,3255;14,0321;12,9174;14,2336;1,4869;0,0261934;-1,25783;-2,76607;+
lev-11;A0A0K3ARC0;Uncharacterized protein;15,5017;15,3856;15,1109;14,5788;14,6444;14,4137;14,0062;14,6316;1,52792;0,023536;0,720305;2,83776;+
gld-2;"A0A0K3ARE1;A0A0K3AWQ7;O17087";"Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2";11,771;12,8416;11,72;12,4886;12,4825;12,7573;12,3399;13,0231;0,686133;0,167221;-0,445425;-1,41791;
ncl-1;"A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1";15,1437;14,4379;14,5374;14,4959;15,0048;15,1274;15,0056;14,8777;1,05335;0,0690736;-0,350118;-2,03182;
CELE_D1069,3;"A0A0K3ARJ1;Q6A586";Uncharacterized protein;11,9118;12,1038;12,8008;12,5522;10,3262;12,131;7,60835;10,4998;1,21105;0,0488836;2,2008;2,29512;+
lin-23;"A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23";13,1779;13,241;12,8194;13,2696;16,7725;16,4028;16,1503;16,3081;5,92878;0;-3,28144;-19,5002;+
CELE_Y50D4B,1;"A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286";Uncharacterized protein;13,1414;13,1551;12,9483;13,5493;14,6389;14,1407;15,2596;15,4452;2,6807;0,00249818;-1,67261;-5,16431;+
CELE_Y39A1A,21;"A0A0K3ARX5;Q9XX11";Uncharacterized protein;10,8572;9,59846;10,5046;10,6183;11,3144;12,1267;12,0295;10,6682;1,39164;0,0325309;-1,14006;-2,60144;+
dre-1;"A0A0K3AS68;Q94251";"Daf-12, REdundant with;F-box protein dre-1";17,5411;16,747;16,9177;17,0942;16,4058;17,7578;17,2062;16;0,215914;0,543456;0,232548;0,540593;
gck-1;"A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099";"Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1";14,3503;14,2965;14,0295;14,1474;15,0427;14,7422;14,8521;14,9281;3,40825;0,000718404;-0,68538;-7,10488;+
gly-7;"A0A0K3ASG4;O61397";"Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7";15,2911;13,9644;14,1441;13,7363;13,2416;13,7346;13,7728;14,3512;0,577174;0,217681;0,508888;1,22997;
"CELE_F40A3,3;F40A3,3";"A0A0K3ASH2;O16264";"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3";18,5411;18,4763;18,5505;18,2987;17,7456;17,9368;17,8551;17,4634;3,03002;0,00133766;0,716424;6,03784;+
CELE_Y50D4B,4;A0A0K3ASH9;Uncharacterized protein;14,9002;14,9816;14,9892;14,9089;14,9787;15,6712;15,6459;15,6076;1,70994;0,0166081;-0,530887;-3,16258;+
cdf-1;"A0A0K3ASM2;Q95QW4";"Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1";10,9376;10,6472;10,7921;10,746;10,5696;10,3252;10,3024;10,6677;1,55972;0,0219691;0,314515;2,89371;+
unc-34;"A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34";16,7764;16,3451;13,3088;15,1487;13,8518;14,466;14,6832;13,4427;0,766488;0,138294;1,28384;1,55389;
tbh-1;"A0A0K3ATC0;Q9XTQ6";"Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase";15,3663;15,3492;15,5883;15,0892;14,5926;15,0296;14,5775;14,9913;1,86131;0,0119448;0,550485;3,44229;+
lev-11;A0A0K3ATS1;Uncharacterized protein;21,7474;22,1143;22,0065;21,4276;21,1675;21,4134;20,9223;20,7806;1,9651;0,00927119;0,752998;3,63986;+
imp-3;"A0A0K3AUD2;Q18408";IntraMembrane Protease (IMPAS) family;13,3818;13,1706;12,9138;13,224;12,6899;13,082;12,4051;13,601;0,355118;0,379321;0,228042;0,82401;
prdx-2;"A0A0K3AUJ9;H2KZL7;Q8IG31";PeRoxireDoXin;21,9418;21,7497;21,7763;21,7001;20,8942;21,3648;21,233;21,3462;2,52867;0,0029852;0,582435;4,8133;+
jhdm-1;"A0A0K3AUW2;Q95Q98";"JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1";14,5113;14,5323;14,7196;14,1443;13,7639;13,4889;13,5012;13,6998;3,09434;0,00104467;0,863445;6,20983;+
mrck-1;"A0A0K3AUZ7;O01583";"Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1";13,0162;11,8051;12,8231;12,0398;12,765;13,044;13,4002;13,11;1,06158;0,0679209;-0,658755;-2,04551;
nhr-86;"A0A0K3AVA9;Q965W2";"Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86";11,6752;10,9989;11,4704;11,1694;12,1407;12,7157;12,5374;11,5439;1,62827;0,0197655;-0,905985;-3,01542;+
aat-3;"A0A0K3AVL7;O17395";Amino Acid Transporter;13,6455;13,2998;12,6054;12,8474;12,9043;13,3256;12,9065;13,1466;0,0393525;0,895724;0,028764;0,113454;
CELE_M02H5,8;A0A0K3AVS5;Uncharacterized protein;18,0799;17,9544;17,8609;17,9541;18,1582;18,0209;17,6519;17,7006;0,246892;0,500454;0,0794072;0,606544;
CELE_T08B1,1;A0A0K3AVV4;Uncharacterized protein;14,2979;14,5233;14,602;14,4496;15,6044;15,5163;15,4616;15,5904;5,21612;0;-1,07495;-14,7596;+
lipl-5;"A0A0K3AW68;A0A0K3AYF1;O61866";"Lipase;LIPase Like;Lipase";13,2047;13,1923;13,5453;12,7198;14,0593;14,0521;14,0562;13,4379;1,73442;0,0157509;-0,73583;-3,20718;+
fln-2;"A0A0K3AW96;D0VWL6";FiLamiN (Actin binding protein) homolog;16,3382;16,225;16,1405;15,8562;15,7683;15,5146;15,573;15,6207;2,37642;0,00411843;0,520813;4,47759;+
C14C6,5;"A0A0K3AXM4;O44667";Uncharacterized protein;14,6652;14,5774;14,5304;14,5023;13,3778;12,4916;14,7746;12,5963;1,26419;0,0432545;1,25879;2,38458;+
CELE_T08B1,1;A0A0K3AY44;Uncharacterized protein;10,9633;10,7178;10,801;10,7331;10,6738;10,3378;10,406;10,3975;2,01606;0,0082159;0,349983;3,73873;+
zig-11;A0A0K3AY85;2 (Zwei) IG domain protein;13,1376;12,9935;13,2651;12,7266;11,4791;11,9132;11,7059;11,4122;3,87831;0,000166667;1,40308;8,64112;+
ilys-5;"A0A0K3AYJ1;Q19698";Invertebrate LYSozyme;14,6293;13,7522;14,0625;13,9497;16,3559;16,2442;16,7785;16,5289;4,41654;0;-2,37841;-10,7485;+
irg-3;"A0A0M7REP5;A0A0M7RF66;P91316";Infection Response protein;12,9895;13,6276;13,4423;13,8067;12,0239;13,6031;14,0724;13,2157;0,19896;0,570227;0,237725;0,503635;
tns-1;"A0A0S4XR31;H2L045;H2L046";TeNSin homolog;15,3917;15,3103;15,3597;15,1448;15,3103;15,0886;14,9067;15,0705;1,08737;0,0643195;0,20759;2,08842;
ubr-4;"A0A0S4XR36;O01808";UBR E3 ubiquitin ligase homolog;12,9748;12,0796;11,9757;12,4436;12,175;13,4889;12,5708;12,6153;0,428532;0,314917;-0,344074;-0,962877;
ccar-1;A0A0S4XR43;CCAR1 homolog;15,1967;14,7468;14,4661;15,0081;15,1376;15,0373;15,1087;15,0186;0,657995;0,178103;-0,221148;-1,36983;
ulp-2;"A0A0S4XR45;Q23238";"Ubiquitin-Like Protease;Ubiquitin-like protease 2";13,0999;13,0408;13,1241;12,4987;14,6588;13,6319;13,6467;14,3612;2,04863;0,0077961;-1,13378;-3,80259;+
CELE_T23F4,2;"A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261";Uncharacterized protein;14,0388;12,8363;13,8535;13,3663;13,3763;12,8645;13,2779;12,2445;0,772964;0,136441;0,58294;1,56478;
sago-1;A0A0T7CIX3;Piwi-like protein;13,6706;13,845;13,8241;15,3813;13,6895;13,542;13;13,434;0,902887;0,0982904;0,763883;1,78184;
sago-2;"A0A0U1RML5;A0A0U1RML6";Piwi-like protein;12,7837;12,9861;13,3497;13,2385;14,5988;14,3745;14,9379;12,6879;1,06532;0,0675443;-1,06024;-2,05172;
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3";"A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3";13,075;11,9628;11,6702;11,7729;13,6059;13,0851;13,4806;12,171;1,09765;0,0630516;-0,96542;-2,10554;
daf-4;"A0A131MB12;G8JY02;P50488";"Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4";14,1946;13,8292;14,0122;13,5697;14,3909;13,1758;13,5505;13,6891;0,29064;0,449443;0,199889;0,696628;
hpo-3;"A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60";Uncharacterized protein;10,9269;10,6138;10,7563;10,5418;11,1086;11,7108;11,3353;11,1251;2,00812;0,00840609;-0,610245;-3,72324;+
acs-22;"A0A131MBB2;Q18916";Fatty Acid CoA Synthetase family;14,9708;15,4404;14,7526;14,8316;14,7618;14,6566;14,8523;14,5628;0,881846;0,103674;0,290468;1,74682;
tag-10;"A0A131MBC3;A0A131MCY4;G5EER7;G5EG67";Uncharacterized protein;15,7694;15,8648;15,5982;15,5687;15,3004;15,4845;15,367;16,1844;0,215264;0,544693;0,116213;0,539188;
imb-2;"A0A131MBF9;O62332";IMportin Beta family;13,2929;13,1286;13,3316;13,5981;14,1157;14,0364;13,76;14,1524;2,67543;0,00252963;-0,678302;-5,15188;+
brf-1;"A0A131MBG0;A0A131MCT5";BRF (Transcription factor) homolog;12,7211;11,6758;12,478;12,8654;12,86;10,1685;12,0832;12,4267;0,366785;0,367911;0,550477;0,846475;
CELE_W09B6,4;"A0A131MBG4;H2L0M1";Uncharacterized protein;13,5935;13,3194;13,3481;12,9404;12,7675;13,888;13,6697;13,2255;0,114765;0,720852;-0,0873499;-0,308991;
irg-7;A0A131MBU3;Protein irg-7;18,0058;17,6724;17,7368;17,5448;17,7776;17,5662;17,9636;17,7546;0,0721667;0,814913;-0,0255332;-0,201584;
CELE_F27B10,1;A0A131MCJ0;Uncharacterized protein;12,2768;12,5617;12,0353;11,7352;13,8266;4,00029;13,1449;13,4906;0,168337;0,620866;1,03665;0,435141;
CELE_T22F3,3;A0A131MCL1;Alpha-1,4 glucan phosphorylase;13,3505;12,5887;12,4551;11,8211;10,6188;9,99572;10,4122;10,5953;3,09768;0,00104828;2,14837;6,21885;+
die-1;"A0A131MCL4;A0A131MCR4";Dorsal Intercalation and Elongation defect;14,5519;14,54;14,5911;15,048;10,2499;12,8387;12,2804;12,0761;2,57381;0,0029978;2,82146;4,91582;+
dhs-11;A0A163UT65;DeHydrogenases, Short chain;15,8107;15,5416;15,5062;15,8157;15,1228;15,1509;15,364;15,081;2,4596;0,00325806;0,488865;4,65911;+
tbc-14;"A0A164D380;A0A168H1X0";TBC (Tre-2/Bub2/Cdc16) domain family;14,7813;14,4442;14,3378;13,9264;14,8343;15,0339;14,9136;15,0513;1,72617;0,0160937;-0,585835;-3,19213;+
cyp-34a6;"A0A164D3C9;O44656";CYtochrome P450 family;15,1085;14,0355;14,4946;14,391;13,4694;13,5735;13,0709;12,9564;2,43778;0,00346983;1,23985;4,61106;+
fipp-1;"A0A164D3G3;O16293";Factor Interacting with Poly(A) Polymerase;14,3778;14,7669;14,1293;14,376;14,2437;13,3246;14,3555;13,8089;0,902501;0,0982924;0,479315;1,78119;
unc-132;"A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4";Uncharacterized protein;13,7506;13,6741;13,4341;13,9941;14,6151;14,4978;14,8069;14,7951;3,3824;0,000701299;-0,965475;-7,02748;+
cdh-4;"A0A1C3NSI5;Q19319";Cadherin-4;14,9862;13,8023;14,4912;14,11;11,7879;11,5006;11,1287;11,4683;4,22699;0,000246445;2,87603;9,95894;+
ajm-1;A0A1C3NSL1;Apical Junction Molecule;10,969;11,3314;10,6331;10,8396;10,9694;9,90974;11,0537;11,2009;0,190508;0,583992;0,159839;0,484963;
CELE_ZC412,3;A0A1C3NSL5;Uncharacterized protein;17,4613;17,1581;17,2477;17,3517;16,173;16,0842;16,1339;16,3324;4,94616;0;1,12381;13,2702;+
farl-11;"A0A1D3PCL0;Q19300";FAR (Factor ARrest) Like;11,582;10,7392;10,7965;10,1852;11,4386;12,1576;11,4889;11,3118;1,18195;0,0521849;-0,773508;-2,24631;
let-711;"A0A1D3PCL8;A0A1D3PCM5;Q20937";"Uncharacterized protein;Uncharacterized protein;NTL-1a";13,8113;13,8712;13,8529;14,8605;14,7561;14,9078;15,0526;15,1894;1,75316;0,015293;-0,877525;-3,2415;+
C40H1,7;A0A1I6CM73;Uncharacterized protein;14,1071;14,3282;14,2221;14,2521;15,6414;15,1485;14,5656;15,8509;1,99995;0,00846465;-1,07425;-3,70733;+
spat-2;"A0A1I6CM84;F3Y5Q7";Suppressor of PAr-Two defect;14,9535;14,736;14,9911;15,1045;14,0406;14,6327;14,1608;14,6439;1,78233;0,0140012;0,576757;3,29517;+
aakg-1;"A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6";AMP-Activated protein Kinase Gamma subunit;14,6878;13,5791;13,241;13,2334;13,0576;12,9201;12,9037;13,4031;0,849577;0,112391;0,614163;1,69304;
grl-23;"A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424";GRound-Like (Grd related);14,9117;15,0563;15,2123;14,7075;14,5158;14,7975;15,1834;14,9063;0,288797;0,451374;0,12121;0,6929;
spat-2;A0A1I6CM95;Suppressor of PAr-Two defect;13,7267;13,3403;13,5444;13,8469;13,7933;13,2742;12,9591;13,3979;0,595141;0,207936;0,258467;1,26132;
CELE_Y55F3BR,6;A0A1I6CMC9;Uncharacterized protein;13,717;12,9555;13,6063;13,3982;13,2224;12,0115;13,2091;12,6604;0,996349;0,0795761;0,643378;1,93712;
vab-10;A0A1N7SYP3;Uncharacterized protein;18,3724;17,8631;17,8451;17,2892;16,7322;16,2592;16,5955;17,0891;2,24034;0,00551034;1,17344;4,1899;+
"eif-3,l;eif-3,L";"A0A1N7SYP6;Q95QW0";Eukaryotic translation initiation factor 3 subunit L;16,4586;16,0264;15,6961;15,7429;17,1061;16,5901;16,7168;17,0278;2,19964;0,00596485;-0,879192;-4,10597;+
"npp-25;npp-25;npp-25;Y37D8A,17";"A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0";"Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog";16,394;15,6656;15,679;16,0636;16,0175;16,6041;15,9879;16,0504;0,416626;0,32494;-0,214425;-0,940734;
cnt-1;"A0A1N7SYT2;Q9XXH8";"CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1";11,0077;9,82459;10,7234;10,8321;14,2779;12,7615;12,6716;13,297;2,95973;0,0015804;-2,65508;-5,85403;+
C26G2,2;A0A1N7SYU2;Uncharacterized protein;11,0941;10,412;10,7817;10,0716;12,4263;12,8725;12,6666;10,847;1,70429;0,0169533;-1,61326;-3,15232;+
CELE_F43B10,1;A0A1N7SYW5;Uncharacterized protein;12,6899;12,8133;13,1171;12,7559;13,6452;13,6701;13,5638;13,571;3,6407;0,000721485;-0,768493;-7,83284;+
ubc-15;"A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7";UBiquitin Conjugating enzyme;14,2381;13,6658;13,5398;13,3294;14,4611;14,8595;14,681;14,7091;2,46193;0,00321132;-0,9844;-4,66426;+
CELE_Y55F3BR,10;A0A9S0;Uncharacterized protein;13,0579;14,0221;14,0326;13,3238;10,305;10,3478;10,3067;10,5818;4,81179;0;3,2238;12,5828;+
CELE_Y38F2AR,12;A0A9S2;Uncharacterized protein;13,9064;13,565;14,0213;13,8973;14,4601;13,7661;14,0696;14,0969;0,705941;0,158957;-0,250725;-1,4516;
ttr-42;A2V8C3;TransThyretin-Related family domain;16,8632;16,7681;16,7713;17,2911;15,9733;16,3299;16,4235;16,1323;2,35105;0,00431203;0,708682;4,4231;+
CELE_H29C22,1;A2V8C8;Uncharacterized protein;16,3388;15,9727;16,5541;16,7209;16,1022;16,0613;15,7707;16,5717;0,541558;0,236559;0,270113;1,16731;
CELE_F07G6,10;A3FPJ3;Uncharacterized protein;15,3754;17,584;13,229;15,8757;12,6363;15,1037;13,9715;14,0265;0,755999;0,141832;1,58152;1,53624;
ttr-34;A3FPK9;TransThyretin-Related family domain;14,9816;14,0183;15,2852;14,3963;14,8517;15,1234;14,4223;14,0291;0,0605169;0,842312;0,0637474;0,17089;
CELE_Y49E10,29;A3FPL3;Uncharacterized protein;11,0338;10,7375;10,656;10,8375;10,5597;10,2041;9,77207;10,3405;1,74612;0,0154369;0,597114;3,22858;+
cnnm-1;A3QM97;Metal transporter cnnm-1;12,9483;12,6948;12,6783;12,9225;14,2811;12,4529;12,7964;13,2143;0,41111;0,328714;-0,375217;-0,930431;
col-138;A3QM98;COLlagen;15,7824;15,0739;14,6229;14,6624;16,1102;15,5075;18,3774;13,5785;0,362134;0,373109;-0,857997;-0,837539;
oac-59;A3QMB6;O-ACyltransferase homolog;11,0661;10,8012;10,3498;10,7525;10,6963;10,3258;10,3678;10,6429;0,638151;0,187545;0,234237;1,33575;
C42C1,8;A3QMB7;Uncharacterized protein;12,6456;12,9428;12,7097;12,9055;13,3195;12,0299;12,1654;12,6484;0,376798;0,358367;0,260093;0,865629;
"C42C1,11;AP-1";"A3QMC2;G5EFT4";"Uncharacterized protein;Aminopeptidase-1";14,6765;14,3188;14,3926;14,3582;14,6941;14,6105;14,6021;14,6435;1,26902;0,0429137;-0,201025;-2,39274;+
rpl-34;A3QMC5;Ribosomal Protein, Large subunit;19,5652;19,4955;19,399;19,6166;19,0439;19,3361;19,5833;18,9555;0,985984;0,0816208;0,28941;1,9199;
erl-1;A3QMC6;ERLin (ER lipid raft associated protein) homolog;14,4387;14,419;14,2626;14,5015;14,8018;14,0277;14,5356;14,4034;0,078105;0,799752;-0,0366476;-0,216997;
tag-335;A3QMC8;Mannose-1-phosphate guanyltransferase beta;13,9153;13,5012;13,6391;13,7501;13,5656;13,8849;13,7872;13,7949;0,202891;0,564148;-0,0567749;-0,512264;
fbxa-6;A4F303;F-box A protein;14,1002;13,482;14,2028;14,0387;10,5923;10,3045;10,3159;10,6458;5,84664;0;3,49129;18,8866;+
CELE_cTel55X,1;"A4F305;H2KY55";Uncharacterized protein;14,2225;14,3629;14,544;14,6483;14,3041;14,6434;14,5889;14,7497;0,419966;0,32196;-0,127077;-0,94696;
